folder,files_count,status,error
C:\Users\dell\Downloads\marcaagua\listo\Priscillalopez,212,timeout,timeout_wait
C:\Users\dell\Downloads\marcaagua\listo\Priv_sweett,62,ok,
C:\Users\dell\Downloads\marcaagua\listo\Purebeautye,11,ok,
C:\Users\dell\Downloads\marcaagua\listo\Raychellmcm,59,ok,
C:\Users\dell\Downloads\marcaagua\listo\Red Baddy,24,ok,
C:\Users\dell\Downloads\marcaagua\listo\Romi Flexy,50,ok,
C:\Users\dell\Downloads\marcaagua\listo\Roxane engell,11,ok,
C:\Users\dell\Downloads\marcaagua\listo\Rías Gremory-Highschooll DXD - Alina Becker,70,ok,
C:\Users\dell\Downloads\marcaagua\listo\Salma Haden,33,ok,
C:\Users\dell\Downloads\marcaagua\listo\Salomé Gil,48,ok,
C:\Users\dell\Downloads\marcaagua\listo\Sara Pereira venezuelan,23,ok,
C:\Users\dell\Downloads\marcaagua\listo\Sexy lightmoon,2,ok,
C:\Users\dell\Downloads\marcaagua\listo\Sheila Ortega,76,ok,
C:\Users\dell\Downloads\marcaagua\listo\Sofia Silva Una Milf Chilena Muy Perra!!!,28,ok,
C:\Users\dell\Downloads\marcaagua\listo\Sol Aguilera,26,ok,
C:\Users\dell\Downloads\marcaagua\listo\Sophia delu,10,ok,
C:\Users\dell\Downloads\marcaagua\listo\Srta.luisina,61,ok,
C:\Users\dell\Downloads\marcaagua\listo\Stefany Gutiérrez,23,ok,
C:\Users\dell\Downloads\marcaagua\listo\Suicidegirls-Sash-Onlyfans,19,ok,
C:\Users\dell\Downloads\marcaagua\listo\Suicidegirls-Sash-Onlyfans 1,13,ok,
C:\Users\dell\Downloads\marcaagua\listo\Sweet ween,35,ok,
C:\Users\dell\Downloads\marcaagua\listo\Sydney Sweeney - filtradas,10,ok,
C:\Users\dell\Downloads\marcaagua\listo\Sydney Sweeney compilación de gifs,81,ok,
C:\Users\dell\Downloads\marcaagua\listo\Tinker Bell - Kalinka Fox,45,ok,
C:\Users\dell\Downloads\marcaagua\listo\Tropicalangeles,52,ok,
C:\Users\dell\Downloads\marcaagua\listo\Tsuky Chan,86,ok,
C:\Users\dell\Downloads\marcaagua\listo\Val2legit,311,timeout,timeout_wait
C:\Users\dell\Downloads\marcaagua\listo\Valeria Castañeda,684,timeout,timeout_wait
C:\Users\dell\Downloads\marcaagua\listo\Vega Thompson,40,ok,
C:\Users\dell\Downloads\marcaagua\listo\Veronica Silesto,18,ok,
C:\Users\dell\Downloads\marcaagua\listo\Victoria Vázquez,77,ok,
C:\Users\dell\Downloads\marcaagua\listo\Victoria matosa,180,timeout,timeout_wait
C:\Users\dell\Downloads\marcaagua\listo\Violet Velutto,64,ok,
C:\Users\dell\Downloads\marcaagua\listo\Wanda Potts,26,ok,
C:\Users\dell\Downloads\marcaagua\listo\Willow Wisp,90,ok,
C:\Users\dell\Downloads\marcaagua\listo\Winona Ryder,60,ok,
C:\Users\dell\Downloads\marcaagua\listo\Yisett_mdd,30,ok,
